GridCode,landuse,CN-A,CN-B,CN-C,CN-D,EMC-TSS (g/L),EMC-TP(g/L),EMC-TN (g/L),EMC-Tlead (g/L),EMC-TCopper(g/L),EMC-Tzinc (g/L),E-coli (MPN/L)
11,Open water,111000,211000,311000,411000,0,0,0,0,0,0,0
12,Perennial Ice/Snow,112100,212100,312100,412100,0,0,0,0,0,0,0
21,Developed Open Space,121039,221061,321074,421080,0.05,0.00083,0.00196,0.000009,0.000015,0.00008,109310
22,Developed Low Intensity,122056,222071,322081,422086,0.052,0.00083,0.00196,0.000009,0.000015,0.00008,109310
23,Developed Medium Intensity,123069,223081,323087,423090,0.05627,0.00027,0.00141,0.0000145,0.0000145,0.00018,53730
24,Developed High Intensity,124089,224092,324094,424095,0.0605,0.00028,0.00126,0.000015,0.000015,0.000245,37500
31,Barren Land,131077,231086,331091,431094,0.075,0.0013,0.00414,0.00000093,0.0000015,0.000016,1880
32,Unconsolidated Shore,132100,232100,332100,432100,0,0,0,0,0,0,0
41,Deciduous Forest,141030,241055,341070,441077,0.0008,0.00001,0.0005,0.0000022,0.00001,0.000006,1880
42,Evergreen Forest,142030,242055,342070,442077,0.0008,0.00001,0.0005,0.0000022,0.00001,0.000006,1880
43,Mixed Forest,143030,243055,343070,443077,0.0008,0.00001,0.0005,0.0000022,0.00001,0.000006,1880
51,Dwarf Scrub,151030,251055,351070,451077,0.0008,0.00001,0.0005,0.0000022,0.00001,0.000006,1880
52,Scrub/Shrub,152030,252055,352070,452077,0.0008,0.00001,0.0005,0.0000022,0.00001,0.000006,1880
71,Grassland/Herbaceous,171030,271058,371071,471078,0.0008,0.00001,0.0005,0.0000022,0.00001,0.000006,1880
72,Sedge Herbaceous,172030,272058,372071,472078,0.0008,0.00001,0.0005,0.0000022,0.00001,0.000006,1880
81,Pasture/Hay,181039,281061,381074,481080,0.0014,0.00011,0.0009,0.000005,0.00001,0.000006,37500
82,Cultivated Crops,182064,282075,382082,482085,0.075,0.0013,0.00414,0.00000093,0.0000015,0.000016,1880
90,Woody Wetlands,190085,290085,390090,490092,0.0008,0.00001,0.0005,0.0000022,0.00001,0.000006,1880
91,Palustrine Forested Wetland,191030,291055,391070,491077,0.0008,0.00001,0.0005,0.0000022,0.00001,0.000006,1880
92,Palustrine Scrub/Shrub,192000,292000,392000,492000,0,0,0,0,0,0,0
93,Estuarine Forested Wetlands,193030,293055,393070,493077,0.0008,0.00001,0.0005,0.0000022,0.00001,0.000006,1880
94,Estuarine Scrub/Shrub,194000,294000,394000,494000,0,0,0,0,0,0,0
95,Emergent Herbaceous Wetland,195077,295077,395084,495090,0.0008,0.00001,0.0005,0.0000022,0.00001,0.000006,1880
96,Palustrine Emergent Wetland (Persistent),196000,296000,396000,496000,0,0,0,0,0,0,0
97,Palustrine Emergent Wetland,197000,297000,397000,497000,0,0,0,0,0,0,0
98,Palustrine Aquatic Bed,198000,298000,398000,498000,0,0,0,0,0,0,0
99,Estuarine Aquatic Bed,199000,299000,399000,499000,0,0,0,0,0,0,0
